Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,0,41,68,10000,0
0,1,10000,10000,41,68,20000,3
0,10,100000,100000,41,68,110000,37
0,100,1000000,1000000,41,68,1010000,397
0,1000,10000000,10000000,41,68,10010000,3976
0,10000,100000000,100000000,41,68,100010000,39784
0,10001,100010000,100010000,41,68,100020000,39785
0,10002,100020000,100020000,41,68,100030000,39790
0,10003,100030000,100030000,41,68,100040000,39795
0,10004,100040000,100040000,41,68,100050000,39800
0,10005,100050000,100050000,41,68,100060000,39803
0,10006,100060000,100060000,41,68,100070000,39807
0,10007,100070000,100070000,41,68,100080000,39808
0,10008,100080000,100080000,41,68,100090000,39815
0,10009,100090000,100090000,41,68,100100000,39818
0,1001,10010000,10010000,41,68,10020000,3980
0,10010,100100000,100100000,41,68,100110000,39823
0,10011,100110000,100110000,41,68,100120000,39826
0,10012,100120000,100120000,41,68,100130000,39832
0,10013,100130000,100130000,41,68,100140000,39833
0,10014,100140000,100140000,41,68,100150000,39838
0,10015,100150000,100150000,41,68,100160000,39842
0,10016,100160000,100160000,41,68,100170000,39847
0,10017,100170000,100170000,41,68,100180000,39851
0,10018,100180000,100180000,41,68,100190000,39855
0,10019,100190000,100190000,41,68,100200000,39856
0,1002,10020000,10020000,41,68,10030000,3985
0,10020,100200000,100200000,41,68,100210000,39863
0,10021,100210000,100210000,41,68,100220000,39867
0,10022,100220000,100220000,41,68,100230000,39869
0,10023,100230000,100230000,41,68,100240000,39873
0,10024,100240000,100240000,41,68,100250000,39880
0,10025,100250000,100250000,41,68,100260000,39881
0,10026,100260000,100260000,41,68,100270000,39887
0,10027,100270000,100270000,41,68,100280000,39890
0,10028,100280000,100280000,41,68,100290000,39894
0,10029,100290000,100290000,41,68,100300000,39898
0,1003,10030000,10030000,41,68,10040000,3988
0,10030,100300000,100300000,41,68,100310000,39902
0,10031,100310000,100310000,41,68,100320000,39904
0,10032,100320000,100320000,41,68,100330000,39912
0,10033,100330000,100330000,41,68,100340000,39915
0,10034,100340000,100340000,41,68,100350000,39917
0,10035,100350000,100350000,41,68,100360000,39920
0,10036,100360000,100360000,41,68,100370000,39927
0,10037,100370000,100370000,41,68,100380000,39929
0,10038,100380000,100380000,41,68,100390000,39935
0,10039,100390000,100390000,41,68,100400000,39938
0,1004,10040000,10040000,41,68,10050000,3992
0,10040,100400000,100400000,41,68,100410000,39942
0,10041,100410000,100410000,41,68,100420000,39945
0,10042,100420000,100420000,41,68,100430000,39950
0,10043,100430000,100430000,41,68,100440000,39952
0,10044,100440000,100440000,41,68,100450000,39959
0,10045,100450000,100450000,41,68,100460000,39963
0,10046,100460000,100460000,41,68,100470000,39965
0,10047,100470000,100470000,41,68,100480000,39968
0,10048,100480000,100480000,41,68,100490000,39975
0,10049,100490000,100490000,41,68,100500000,39977
0,1005,10050000,10050000,41,68,10060000,3995
0,10050,100500000,100500000,41,68,100510000,39982
0,10051,100510000,100510000,41,68,100520000,39985
0,10052,100520000,100520000,41,68,100530000,39990
0,10053,100530000,100530000,41,68,100540000,39993
0,10054,100540000,100540000,41,68,100550000,39998
0,10055,100550000,100550000,41,68,100560000,40000
0,10056,100560000,100560000,41,68,100570000,40007
0,10057,100570000,100570000,41,68,100580000,40010
0,10058,100580000,100580000,41,68,100590000,40012
0,10059,100590000,100590000,41,68,100600000,40017
0,1006,10060000,10060000,41,68,10070000,4000
0,10060,100600000,100600000,41,68,100610000,40023
0,10061,100610000,100610000,41,68,100620000,40024
0,10062,100620000,100620000,41,68,100630000,40030
0,10063,100630000,100630000,41,68,100640000,40033
0,10064,100640000,100640000,41,68,100650000,40037
0,10065,100650000,100650000,41,68,100660000,40041
0,10066,100660000,100660000,41,68,100670000,40046
0,10067,100670000,100670000,41,68,100680000,40047
0,10068,100680000,100680000,41,68,100690000,40055
0,10069,100690000,100690000,41,68,100700000,40058
0,1007,10070000,10070000,41,68,10080000,4002
0,10070,100700000,100700000,41,68,100710000,40061
0,10071,100710000,100710000,41,68,100720000,40064
0,10072,100720000,100720000,41,68,100730000,40070
0,10073,100730000,100730000,41,68,100740000,40072
0,10074,100740000,100740000,41,68,100750000,40077
0,10075,100750000,100750000,41,68,100760000,40081
0,10076,100760000,100760000,41,68,100770000,40086
0,10077,100770000,100770000,41,68,100780000,40089
0,10078,100780000,100780000,41,68,100790000,40093
0,10079,100790000,100790000,41,68,100800000,40094
0,1008,10080000,10080000,41,68,10090000,4010
0,10080,100800000,100800000,41,68,100810000,40102
0,10081,100810000,100810000,41,68,100820000,40107
0,10082,100820000,100820000,41,68,100830000,40109
0,10083,100830000,100830000,41,68,100840000,40112
0,10084,100840000,100840000,41,68,100850000,40118
0,10085,100850000,100850000,41,68,100860000,40119
0,10086,100860000,100860000,41,68,100870000,40124
0,10087,100870000,100870000,41,68,100880000,40129
0,10088,100880000,100880000,41,68,100890000,40134
0,10089,100890000,100890000,41,68,100900000,40137
0,1009,10090000,10090000,41,68,10100000,4013
0,10090,100900000,100900000,41,68,100910000,40141
