Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,620,1548,10000,10000,0
T1,100,276,690,10000,10000,0
T2,100,84,209,10000,10000,0
T3,100,70,174,15000,15000,0
T4,100,63,157,20000,20000,0
T5,100,2560,6400,20000,20000,0
T6,100,3086,7715,20000,20000,0
T7,100,2181,5452,20000,20000,0
T8,100,260,648,30000,30000,0
T9,100,5928,14818,35000,35000,0
T10,100,2195,5487,35000,35000,0
T11,100,626,1565,35000,35000,0
T12,100,1618,4043,35000,35000,0
T13,100,606,1513,65000,65000,0
T14,100,8240,20600,70000,70000,0
T15,100,2496,6239,80000,80000,0
