Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,1445,3611,10000,10000,0
T1,100,124,308,10000,10000,0
T2,100,1114,2784,10000,10000,0
T3,100,1063,2657,10000,10000,0
T4,100,54,133,10000,10000,0
T5,100,364,908,15000,15000,0
T6,100,3074,7684,20000,20000,0
T7,100,4064,10158,20000,20000,0
T8,100,1551,3876,50000,50000,0
T9,100,2228,5568,50000,50000,0
T10,100,512,1278,50000,50000,0
T11,100,2501,6251,60000,60000,0
T12,100,2398,5995,65000,65000,0
T13,100,1398,3493,80000,80000,0
T14,100,1202,3005,80000,80000,0
T15,100,211,527,90000,90000,0
