Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,500,2912,4853,10000,10000,0
T1,500,925,1541,10000,10000,0
T2,750,1352,2253,15000,15000,0
T3,750,843,1405,15000,15000,0
T4,750,1199,1998,15000,15000,0
T5,750,1556,2592,15000,15000,0
T6,750,640,1066,15000,15000,0
T7,1000,3404,5673,20000,20000,0
T8,1000,1523,2537,20000,20000,0
T9,1000,106,176,20000,20000,0
T10,1250,316,526,25000,25000,0
T11,1250,258,429,25000,25000,0
T12,1250,910,1516,25000,25000,0
T13,1250,2382,3970,25000,25000,0
T14,1500,2162,3602,30000,30000,0
T15,2000,825,1374,40000,40000,0
T16,3500,4952,8252,70000,70000,0
T17,3500,2843,4738,70000,70000,0
T18,3750,2616,4360,75000,75000,0
T19,4750,3684,6139,95000,95000,0
