Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,526,876,10000,10000,0
T1,100,786,1310,10000,10000,0
T2,100,776,1293,10000,10000,0
T3,100,462,769,10000,10000,0
T4,100,588,980,15000,15000,0
T5,100,389,647,15000,15000,0
T6,100,692,1152,20000,20000,0
T7,100,2717,4527,20000,20000,0
T8,100,2726,4543,25000,25000,0
T9,100,661,1101,30000,30000,0
T10,100,50,82,30000,30000,0
T11,100,1320,2200,30000,30000,0
T12,100,1559,2597,35000,35000,0
T13,100,4662,7770,35000,35000,0
T14,100,24,39,35000,35000,0
T15,100,10456,17426,40000,40000,0
T16,100,612,1019,50000,50000,0
T17,100,3833,6387,50000,50000,0
T18,100,7470,12450,60000,60000,0
T19,100,8983,14971,75000,75000,0
