Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,30,50,10000,10000,0
T1,100,87,145,10000,10000,0
T2,100,922,1536,10000,10000,0
T3,100,490,816,15000,15000,0
T4,100,652,1086,15000,15000,0
T5,100,53,87,15000,15000,0
T6,100,212,352,15000,15000,0
T7,100,1688,2813,15000,15000,0
T8,100,3498,5829,20000,20000,0
T9,100,4037,6727,20000,20000,0
T10,100,1470,2449,25000,25000,0
T11,100,1491,2485,25000,25000,0
T12,100,1601,2668,30000,30000,0
T13,100,29,48,30000,30000,0
T14,100,3237,5394,30000,30000,0
T15,100,1223,2037,45000,45000,0
T16,100,4150,6916,45000,45000,0
T17,100,6626,11043,50000,50000,0
T18,100,7497,12495,60000,60000,0
T19,100,7662,12769,80000,80000,0
