Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,500,2023,3371,10000,10000,0
T1,500,651,1084,10000,10000,0
T2,500,353,588,10000,10000,0
T3,500,599,997,10000,10000,0
T4,500,77,128,10000,10000,0
T5,750,1326,2210,15000,15000,0
T6,750,20,33,15000,15000,0
T7,1000,3111,5185,20000,20000,0
T8,1250,2183,3638,25000,25000,0
T9,1250,1060,1766,25000,25000,0
T10,1500,336,560,30000,30000,0
T11,1500,24,39,30000,30000,0
T12,2000,2891,4818,40000,40000,0
T13,2250,5034,8389,45000,45000,0
T14,2250,2777,4627,45000,45000,0
T15,2250,13499,22498,45000,45000,0
T16,3000,3159,5264,60000,60000,0
T17,3000,3726,6210,60000,60000,0
T18,3250,1407,2344,65000,65000,0
T19,4000,66,109,80000,80000,0
