Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,240,399,10000,10000,0
T1,100,334,556,10000,10000,0
T2,100,1599,2665,15000,15000,0
T3,100,312,519,15000,15000,0
T4,100,519,865,15000,15000,0
T5,100,296,492,20000,20000,0
T6,100,264,440,25000,25000,0
T7,100,1179,1964,25000,25000,0
T8,100,695,1157,30000,30000,0
T9,100,518,863,45000,45000,0
T10,100,501,834,45000,45000,0
T11,100,303,505,65000,65000,0
T12,100,1760,2933,75000,75000,0
T13,100,1366,2276,75000,75000,0
T14,100,6840,11399,80000,80000,0
T15,100,854,1422,80000,80000,0
