Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,15,25,10000,10000,0
T1,100,393,655,10000,10000,0
T2,100,38,62,10000,10000,0
T3,100,1153,1921,15000,15000,0
T4,100,678,1129,15000,15000,0
T5,100,278,463,15000,15000,0
T6,100,83,138,25000,25000,0
T7,100,293,487,25000,25000,0
T8,100,1122,1870,35000,35000,0
T9,100,2465,4107,40000,40000,0
T10,100,559,931,40000,40000,0
T11,100,3947,6578,60000,60000,0
T12,100,394,656,60000,60000,0
T13,100,5968,9946,70000,70000,0
T14,100,126,209,85000,85000,0
T15,100,1131,1884,85000,85000,0
