Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,689,1148,10000,10000,0
T1,100,1632,2719,10000,10000,0
T2,100,299,497,10000,10000,0
T3,100,221,367,10000,10000,0
T4,100,560,932,10000,10000,0
T5,100,716,1192,10000,10000,0
T6,100,119,197,15000,15000,0
T7,100,389,647,15000,15000,0
T8,100,411,685,15000,15000,0
T9,100,189,314,20000,20000,0
T10,100,129,215,20000,20000,0
T11,100,3972,6619,25000,25000,0
T12,100,3312,5519,25000,25000,0
T13,100,1382,2302,30000,30000,0
T14,100,3430,5716,30000,30000,0
T15,100,2010,3349,35000,35000,0
T16,100,2271,3785,40000,40000,0
T17,100,1388,2312,40000,40000,0
T18,100,149,247,60000,60000,0
T19,100,7527,12545,70000,70000,0
T20,100,3424,5706,75000,75000,0
T21,100,12723,21205,75000,75000,0
T22,100,1995,3325,80000,80000,0
T23,100,80,133,90000,90000,0
