Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,128,213,10000,10000,0
T1,100,663,1104,10000,10000,0
T2,100,296,493,10000,10000,0
T3,100,672,1119,10000,10000,0
T4,100,610,1016,15000,15000,0
T5,100,80,133,15000,15000,0
T6,100,123,204,15000,15000,0
T7,100,2939,4897,15000,15000,0
T8,100,711,1184,15000,15000,0
T9,100,1462,2436,20000,20000,0
T10,100,1390,2316,20000,20000,0
T11,100,789,1314,25000,25000,0
T12,100,1338,2229,25000,25000,0
T13,100,238,396,25000,25000,0
T14,100,1356,2260,40000,40000,0
T15,100,1146,1910,40000,40000,0
T16,100,456,760,50000,50000,0
T17,100,9338,15562,50000,50000,0
T18,100,1643,2738,50000,50000,0
T19,100,10736,17892,60000,60000,0
T20,100,11089,18481,70000,70000,0
T21,100,4896,8159,70000,70000,0
T22,100,1466,2442,70000,70000,0
T23,100,827,1377,80000,80000,0
