Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,1666,2776,10000,10000,0
T1,100,853,1421,15000,15000,0
T2,100,7861,13101,15000,15000,0
T3,100,557,927,15000,15000,0
T4,100,5564,9272,15000,15000,0
T5,100,695,1157,15000,15000,0
T6,100,1015,1691,15000,15000,0
T7,100,5754,9590,15000,15000,0
T8,100,5835,9724,15000,15000,0
T9,100,1242,2069,30000,30000,0
T10,100,409,681,30000,30000,0
T11,100,3380,5632,35000,35000,0
T12,100,9213,15354,45000,45000,0
T13,100,6692,11152,60000,60000,0
T14,100,24926,41543,90000,90000,0
T15,100,8404,14006,90000,90000,0
