Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,2384,3972,10000,10000,0
T1,100,1492,2486,10000,10000,0
T2,100,3254,5422,15000,15000,0
T3,100,5101,8501,20000,20000,0
T4,100,2342,3902,25000,25000,0
T5,100,10075,16791,25000,25000,0
T6,100,10599,17664,30000,30000,0
T7,100,10554,17589,30000,30000,0
T8,100,801,1335,35000,35000,0
T9,100,233,387,35000,35000,0
T10,100,884,1472,40000,40000,0
T11,100,24104,40173,50000,50000,0
T12,100,3095,5157,60000,60000,0
T13,100,7274,12122,70000,70000,0
T14,100,6753,11255,70000,70000,0
T15,100,2499,4165,75000,75000,0
