Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,1442,2403,10000,10000,0
T1,100,4105,6841,10000,10000,0
T2,100,1118,1863,10000,10000,0
T3,100,1031,1718,20000,20000,0
T4,100,8463,14104,20000,20000,0
T5,100,2145,3575,25000,25000,0
T6,100,3150,5249,25000,25000,0
T7,100,11408,19013,25000,25000,0
T8,100,5229,8714,30000,30000,0
T9,100,2652,4420,40000,40000,0
T10,100,3855,6425,50000,50000,0
T11,100,7978,13296,50000,50000,0
T12,100,20639,34397,55000,55000,0
T13,100,10746,17909,60000,60000,0
T14,100,1995,3324,70000,70000,0
T15,100,971,1617,90000,90000,0
