Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,5949,9914,15000,15000,0
T1,100,2286,3809,15000,15000,0
T2,100,4343,7237,15000,15000,0
T3,100,3696,6159,20000,20000,0
T4,100,1971,3285,20000,20000,0
T5,100,5137,8561,20000,20000,0
T6,100,475,791,25000,25000,0
T7,100,5547,9244,25000,25000,0
T8,100,1303,2171,30000,30000,0
T9,100,7508,12512,35000,35000,0
T10,100,8279,13797,40000,40000,0
T11,100,6837,11395,40000,40000,0
T12,100,17735,29558,50000,50000,0
T13,100,4644,7740,60000,60000,0
T14,100,5984,9972,80000,80000,0
T15,100,10025,16707,85000,85000,0
