Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,581,967,10000,10000,0
T1,100,1367,2278,10000,10000,0
T2,100,636,1059,10000,10000,0
T3,100,3611,6017,15000,15000,0
T4,100,1892,3153,15000,15000,0
T5,100,1192,1986,20000,20000,0
T6,100,1602,2669,20000,20000,0
T7,100,866,1442,25000,25000,0
T8,100,5439,9064,25000,25000,0
T9,100,3570,5949,25000,25000,0
T10,100,122,202,25000,25000,0
T11,100,1299,2165,30000,30000,0
T12,100,4924,8206,40000,40000,0
T13,100,16439,27397,55000,55000,0
T14,100,7464,12440,65000,65000,0
T15,100,13155,21924,75000,75000,0
