Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,139,231,10000,10000,0
T1,100,1322,2203,15000,15000,0
T2,100,5357,8928,20000,20000,0
T3,100,2579,4298,20000,20000,0
T4,100,27,44,20000,20000,0
T5,100,12636,21060,30000,30000,0
T6,100,3433,5721,35000,35000,0
T7,100,13583,22637,35000,35000,0
T8,100,2009,3347,35000,35000,0
T9,100,5559,9265,50000,50000,0
T10,100,6087,10144,60000,60000,0
T11,100,13633,22721,60000,60000,0
T12,100,4324,7206,65000,65000,0
T13,100,36690,61149,70000,70000,0
T14,100,16439,27397,70000,70000,0
T15,100,11988,19979,80000,80000,0
