Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,462,770,10000,10000,0
T1,100,555,925,10000,10000,0
T2,100,688,1146,10000,10000,0
T3,100,486,809,10000,10000,0
T4,100,1385,2307,15000,15000,0
T5,100,1659,2765,15000,15000,0
T6,100,1559,2597,20000,20000,0
T7,100,1032,1719,20000,20000,0
T8,100,1247,2077,20000,20000,0
T9,100,1623,2704,25000,25000,0
T10,100,224,372,25000,25000,0
T11,100,3095,5158,30000,30000,0
T12,100,1820,3033,40000,40000,0
T13,100,1619,2698,40000,40000,0
T14,100,5156,8592,75000,75000,0
T15,100,1386,2310,95000,95000,0
