Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,393,655,10000,10000,0
T1,100,641,1068,10000,10000,0
T2,100,3183,5304,15000,15000,0
T3,100,534,890,15000,15000,0
T4,100,2351,3918,15000,15000,0
T5,100,2139,3565,20000,20000,0
T6,100,1203,2004,25000,25000,0
T7,100,1727,2878,25000,25000,0
T8,100,835,1391,25000,25000,0
T9,100,1671,2784,25000,25000,0
T10,100,429,714,45000,45000,0
T11,100,820,1366,45000,45000,0
T12,100,1427,2378,50000,50000,0
T13,100,1113,1855,55000,55000,0
T14,100,1769,2947,60000,60000,0
T15,100,1529,2548,70000,70000,0
