Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,377,628,10000,10000,0
T1,100,923,1537,10000,10000,0
T2,100,69,114,15000,15000,0
T3,100,1473,2455,15000,15000,0
T4,100,1141,1901,15000,15000,0
T5,100,407,678,15000,15000,0
T6,100,86,143,20000,20000,0
T7,100,1375,2291,20000,20000,0
T8,100,33,54,25000,25000,0
T9,100,638,1062,30000,30000,0
T10,100,8295,13824,30000,30000,0
T11,100,717,1194,30000,30000,0
T12,100,671,1117,35000,35000,0
T13,100,1651,2751,60000,60000,0
T14,100,8167,13611,70000,70000,0
T15,100,5840,9733,90000,90000,0
