Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,8,12,10000,10000,0
T1,100,434,723,10000,10000,0
T2,100,632,1052,10000,10000,0
T3,100,993,1654,15000,15000,0
T4,100,1463,2437,25000,25000,0
T5,100,3170,5282,25000,25000,0
T6,100,38,62,30000,30000,0
T7,100,4809,8015,30000,30000,0
T8,100,343,571,30000,30000,0
T9,100,464,773,40000,40000,0
T10,100,124,206,40000,40000,0
T11,100,2828,4712,40000,40000,0
T12,100,4244,7073,45000,45000,0
T13,100,8493,14154,60000,60000,0
T14,100,4068,6780,60000,60000,0
T15,100,3153,5255,80000,80000,0
