Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,5994,9990,10000,10000,0
T1,100,2985,4974,10000,10000,0
T2,100,1644,2740,15000,15000,0
T3,100,5218,8696,15000,15000,0
T4,100,4661,7768,15000,15000,0
T5,100,3354,5589,20000,20000,0
T6,100,3944,6573,25000,25000,0
T7,100,8031,13385,25000,25000,0
T8,100,1608,2680,30000,30000,0
T9,100,772,1286,45000,45000,0
T10,100,3453,5754,45000,45000,0
T11,100,8781,14634,50000,50000,0
T12,100,17990,29982,55000,55000,0
T13,100,7017,11694,60000,60000,0
T14,100,4211,7017,60000,60000,0
T15,100,15753,26255,75000,75000,0
