Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,2669,4447,10000,10000,0
T1,100,3575,5957,10000,10000,0
T2,100,2278,3796,10000,10000,0
T3,100,509,847,10000,10000,0
T4,100,656,1092,20000,20000,0
T5,100,4688,7813,20000,20000,0
T6,100,3125,5207,20000,20000,0
T7,100,8273,13787,20000,20000,0
T8,100,879,1465,20000,20000,0
T9,100,4745,7908,25000,25000,0
T10,100,5792,9653,25000,25000,0
T11,100,7396,12326,35000,35000,0
T12,100,2099,3497,35000,35000,0
T13,100,21543,35904,45000,45000,0
T14,100,17902,29836,50000,50000,0
T15,100,2342,3903,50000,50000,0
