Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,1668,2780,10000,10000,0
T1,100,1262,2102,10000,10000,0
T2,100,758,1262,10000,10000,0
T3,100,7578,12629,15000,15000,0
T4,100,2264,3772,15000,15000,0
T5,100,5507,9177,15000,15000,0
T6,100,3227,5378,20000,20000,0
T7,100,1413,2354,20000,20000,0
T8,100,97,161,20000,20000,0
T9,100,6044,10073,25000,25000,0
T10,100,1908,3180,25000,25000,0
T11,100,6890,11483,30000,30000,0
T12,100,12966,21610,35000,35000,0
T13,100,9842,16402,40000,40000,0
T14,100,25619,42697,55000,55000,0
T15,100,7097,11828,70000,70000,0
