Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,117,194,10000,10000,0
T1,100,487,811,10000,10000,0
T2,100,324,539,10000,10000,0
T3,100,31,51,10000,10000,0
T4,100,34,56,15000,15000,0
T5,100,75,125,15000,15000,0
T6,100,248,413,20000,20000,0
T7,100,285,475,25000,25000,0
T8,100,189,315,25000,25000,0
T9,100,17,28,45000,45000,0
T10,100,311,518,50000,50000,0
T11,100,325,541,60000,60000,0
T12,100,260,433,65000,65000,0
T13,100,863,1437,65000,65000,0
T14,100,3405,5675,65000,65000,0
T15,100,1683,2805,70000,70000,0
