Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,135,225,10000,10000,0
T1,100,75,125,10000,10000,0
T2,100,6,10,10000,10000,0
T3,100,107,178,15000,15000,0
T4,100,97,161,15000,15000,0
T5,100,261,434,20000,20000,0
T6,100,98,163,20000,20000,0
T7,100,167,278,25000,25000,0
T8,100,909,1515,30000,30000,0
T9,100,431,717,40000,40000,0
T10,100,1388,2312,40000,40000,0
T11,100,1185,1975,50000,50000,0
T12,100,74,123,50000,50000,0
T13,100,932,1552,50000,50000,0
T14,100,676,1126,55000,55000,0
T15,100,3864,6439,80000,80000,0
