Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,255,424,10000,10000,0
T1,100,30,49,10000,10000,0
T2,100,1279,2131,10000,10000,0
T3,100,2,2,15000,15000,0
T4,100,1322,2202,15000,15000,0
T5,100,2124,3540,20000,20000,0
T6,100,702,1170,25000,25000,0
T7,100,1083,1805,25000,25000,0
T8,100,3200,5332,30000,30000,0
T9,100,900,1500,30000,30000,0
T10,100,13001,21668,45000,45000,0
T11,100,7904,13172,55000,55000,0
T12,100,4547,7577,55000,55000,0
T13,100,16141,26901,60000,60000,0
T14,100,5345,8908,60000,60000,0
T15,100,714,1190,90000,90000,0
