Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,857,1428,10000,10000,0
T1,100,14,23,10000,10000,0
T2,100,1016,1693,10000,10000,0
T3,100,1449,2415,15000,15000,0
T4,100,1969,3281,15000,15000,0
T5,100,207,345,15000,15000,0
T6,100,81,134,15000,15000,0
T7,100,1336,2226,15000,15000,0
T8,100,1557,2595,20000,20000,0
T9,100,218,362,20000,20000,0
T10,100,5150,8582,20000,20000,0
T11,100,7119,11865,25000,25000,0
T12,100,1469,2448,25000,25000,0
T13,100,5012,8353,50000,50000,0
T14,100,2877,4795,80000,80000,0
T15,100,7601,12667,85000,85000,0
