Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,1620,2700,10000,10000,0
T1,100,4187,6977,10000,10000,0
T2,100,1632,2719,10000,10000,0
T3,100,206,342,15000,15000,0
T4,100,1256,2092,15000,15000,0
T5,100,471,784,20000,20000,0
T6,100,2015,3357,20000,20000,0
T7,100,2053,3421,25000,25000,0
T8,100,3064,5106,35000,35000,0
T9,100,4728,7879,50000,50000,0
T10,100,5537,9228,50000,50000,0
T11,100,3635,6057,55000,55000,0
T12,100,7778,12963,55000,55000,0
T13,100,16757,27927,75000,75000,0
T14,100,28012,46686,75000,75000,0
T15,100,22983,38304,90000,90000,0
