Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,171,285,10000,10000,0
T1,100,2534,4222,10000,10000,0
T2,100,983,1637,10000,10000,0
T3,100,139,231,15000,15000,0
T4,100,11969,19947,20000,20000,0
T5,100,220,366,25000,25000,0
T6,100,8427,14044,30000,30000,0
T7,100,1282,2136,30000,30000,0
T8,100,5275,8791,35000,35000,0
T9,100,2087,3477,35000,35000,0
T10,100,11688,19480,40000,40000,0
T11,100,3228,5380,40000,40000,0
T12,100,1564,2606,65000,65000,0
T13,100,2844,4740,70000,70000,0
T14,100,18635,31057,70000,70000,0
T15,100,14177,23628,80000,80000,0
