Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,631,1051,10000,10000,0
T1,100,75,125,10000,10000,0
T2,100,2388,3979,10000,10000,0
T3,100,94,156,10000,10000,0
T4,100,911,1518,10000,10000,0
T5,100,4787,7977,10000,10000,0
T6,100,1066,1776,10000,10000,0
T7,100,365,608,10000,10000,0
T8,100,506,842,15000,15000,0
T9,100,6415,10691,15000,15000,0
T10,100,1281,2134,15000,15000,0
T11,100,1536,2560,20000,20000,0
T12,100,6883,11471,20000,20000,0
T13,100,2526,4210,20000,20000,0
T14,100,411,684,25000,25000,0
T15,100,2770,4616,30000,30000,0
T16,100,826,1376,30000,30000,0
T17,100,1324,2206,35000,35000,0
T18,100,4155,6925,40000,40000,0
T19,100,14430,24050,50000,50000,0
T20,100,134,223,50000,50000,0
T21,100,10171,16951,60000,60000,0
T22,100,480,799,60000,60000,0
T23,100,599,998,75000,75000,0
