Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,1000,765,1275,10000,10000,0
T1,1000,1026,1710,10000,10000,0
T2,1500,928,1546,15000,15000,0
T3,1500,4548,7579,15000,15000,0
T4,2000,6804,11339,20000,20000,0
T5,2000,561,934,20000,20000,0
T6,2000,452,752,20000,20000,0
T7,2500,1060,1766,25000,25000,0
T8,2500,585,975,25000,25000,0
T9,2500,6314,10522,25000,25000,0
T10,2500,2831,4717,25000,25000,0
T11,2500,2708,4513,25000,25000,0
T12,2500,5590,9316,25000,25000,0
T13,2500,2893,4821,25000,25000,0
T14,3000,2792,4653,30000,30000,0
T15,5000,132,220,50000,50000,0
T16,5000,5198,8662,50000,50000,0
T17,6000,3320,5533,60000,60000,0
T18,6000,659,1098,60000,60000,0
T19,6000,5899,9831,60000,60000,0
T20,6500,21204,35339,65000,65000,0
T21,8500,4440,7400,85000,85000,0
T22,8500,3563,5937,85000,85000,0
T23,8500,23917,39861,85000,85000,0
