Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,383,637,10000,10000,0
T1,100,873,1454,10000,10000,0
T2,100,378,629,10000,10000,0
T3,100,1823,3038,10000,10000,0
T4,100,1019,1698,10000,10000,0
T5,100,5447,9077,10000,10000,0
T6,100,941,1568,10000,10000,0
T7,100,24,40,10000,10000,0
T8,100,685,1141,10000,10000,0
T9,100,519,864,10000,10000,0
T10,100,1242,2069,10000,10000,0
T11,100,795,1325,15000,15000,0
T12,100,2588,4312,15000,15000,0
T13,100,1080,1800,15000,15000,0
T14,100,1284,2139,20000,20000,0
T15,100,4686,7809,20000,20000,0
T16,100,417,695,25000,25000,0
T17,100,11649,19414,25000,25000,0
T18,100,120,200,30000,30000,0
T19,100,1898,3163,45000,45000,0
T20,100,12212,20352,50000,50000,0
T21,100,8121,13534,60000,60000,0
T22,100,902,1502,60000,60000,0
T23,100,2647,4411,95000,95000,0
