Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,174,290,10000,10000,0
T1,100,29,47,10000,10000,0
T2,100,2249,3747,10000,10000,0
T3,100,2,2,10000,10000,0
T4,100,375,625,15000,15000,0
T5,100,291,484,15000,15000,0
T6,100,1685,2808,15000,15000,0
T7,100,4914,8189,20000,20000,0
T8,100,796,1326,20000,20000,0
T9,100,270,449,20000,20000,0
T10,100,3580,5966,20000,20000,0
T11,100,1743,2905,20000,20000,0
T12,100,2422,4036,25000,25000,0
T13,100,6673,11121,30000,30000,0
T14,100,2379,3965,35000,35000,0
T15,100,21041,35067,45000,45000,0
T16,100,1160,1932,45000,45000,0
T17,100,2166,3609,45000,45000,0
T18,100,2759,4597,45000,45000,0
T19,100,7487,12477,60000,60000,0
T20,100,20799,34664,65000,65000,0
T21,100,10629,17715,70000,70000,0
T22,100,17670,29450,75000,75000,0
T23,100,8177,13627,90000,90000,0
