Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,284,472,10000,10000,0
T1,100,13,21,10000,10000,0
T2,100,20,33,15000,15000,0
T3,100,4,6,15000,15000,0
T4,100,156,259,20000,20000,0
T5,100,305,508,25000,25000,0
T6,100,147,244,25000,25000,0
T7,100,265,441,25000,25000,0
T8,100,237,395,25000,25000,0
T9,100,684,1140,25000,25000,0
T10,100,24,40,30000,30000,0
T11,100,2471,4118,50000,50000,0
T12,100,1682,2803,55000,55000,0
T13,100,1871,3117,60000,60000,0
T14,100,1497,2495,75000,75000,0
T15,100,333,554,90000,90000,0
