Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,50,384,639,10000,10000,0
T1,50,2259,3764,10000,10000,0
T2,50,1866,3110,10000,10000,0
T3,50,1145,1907,10000,10000,0
T4,50,119,198,10000,10000,0
T5,50,566,943,10000,10000,0
T6,50,1903,3171,20000,20000,0
T7,50,100,166,20000,20000,0
T8,50,3795,6324,20000,20000,0
T9,50,1701,2834,25000,25000,0
T10,50,6385,10641,25000,25000,0
T11,50,592,986,30000,30000,0
T12,50,281,468,35000,35000,0
T13,50,6387,10644,50000,50000,0
T14,50,786,1310,60000,60000,0
T15,50,1595,2657,65000,65000,0
