Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,3408,4259,10000,10000,0
T1,100,1771,2213,10000,10000,0
T2,100,524,654,15000,15000,0
T3,100,489,611,15000,15000,0
T4,100,2216,2770,20000,20000,0
T5,100,1630,2037,20000,20000,0
T6,100,86,107,20000,20000,0
T7,100,3041,3801,25000,25000,0
T8,100,227,283,25000,25000,0
T9,100,6994,8742,30000,30000,0
T10,100,7660,9575,30000,30000,0
T11,100,252,314,40000,40000,0
T12,100,1648,2059,40000,40000,0
T13,100,7956,9945,55000,55000,0
T14,100,6072,7590,75000,75000,0
T15,100,23378,29222,95000,95000,0
