Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,611,763,10000,10000,0
T1,100,220,275,10000,10000,0
T2,100,1756,2194,10000,10000,0
T3,100,554,692,10000,10000,0
T4,100,1532,1914,10000,10000,0
T5,100,2371,2963,15000,15000,0
T6,100,1483,1853,15000,15000,0
T7,100,55,68,15000,15000,0
T8,100,10235,12793,25000,25000,0
T9,100,907,1133,45000,45000,0
T10,100,7540,9425,45000,45000,0
T11,100,5512,6890,60000,60000,0
T12,100,645,806,60000,60000,0
T13,100,14843,18553,75000,75000,0
T14,100,20586,25732,75000,75000,0
T15,100,1925,2406,95000,95000,0
