Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,224,280,10000,10000,0
T1,100,3116,3895,10000,10000,0
T2,100,756,944,10000,10000,0
T3,100,1569,1961,10000,10000,0
T4,100,268,335,15000,15000,0
T5,100,1164,1454,15000,15000,0
T6,100,1658,2072,15000,15000,0
T7,100,4688,5860,15000,15000,0
T8,100,5096,6370,25000,25000,0
T9,100,360,450,30000,30000,0
T10,100,8189,10236,45000,45000,0
T11,100,279,348,45000,45000,0
T12,100,7653,9566,45000,45000,0
T13,100,6265,7831,70000,70000,0
T14,100,524,655,85000,85000,0
T15,100,14880,18600,90000,90000,0
