Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,25,197,328,500,0
0,1,500,525,197,328,1000,1
0,10,5000,5025,197,328,5500,41
0,11,5500,5525,197,328,6000,42
0,12,6000,6025,197,328,6500,51
0,13,6500,6525,197,328,7000,52
0,14,7000,7025,197,328,7500,58
0,15,7500,7525,197,328,8000,59
0,16,8000,8025,197,328,8500,68
0,17,8500,8525,197,328,9000,69
0,18,9000,9025,197,328,9500,75
0,19,9500,9525,197,328,10000,76
0,2,1000,1025,197,328,1500,7
0,3,1500,1525,197,328,2000,8
0,4,2000,2025,197,328,2500,17
0,5,2500,2525,197,328,3000,18
0,6,3000,3025,197,328,3500,24
0,7,3500,3525,197,328,4000,25
0,8,4000,4025,197,328,4500,34
0,9,4500,4525,197,328,5000,35
1,0,0,50,137,227,1000,2
1,1,1000,1050,137,227,2000,9
1,2,2000,2050,137,227,3000,19
1,3,3000,3050,137,227,4000,26
1,4,4000,4050,137,227,5000,36
1,5,5000,5050,137,227,6000,43
1,6,6000,6050,137,227,7000,53
1,7,7000,7050,137,227,8000,60
1,8,8000,8050,137,227,9000,70
1,9,9000,9050,137,227,10000,77
2,0,0,50,103,171,1000,3
2,1,1000,1050,103,171,2000,10
2,2,2000,2050,103,171,3000,20
2,3,3000,3050,103,171,4000,27
2,4,4000,4050,103,171,5000,37
2,5,5000,5050,103,171,6000,44
2,6,6000,6050,103,171,7000,54
2,7,7000,7050,103,171,8000,61
2,8,8000,8050,103,171,9000,71
2,9,9000,9050,103,171,10000,78
3,0,0,50,39,64,1000,4
3,1,1000,1050,39,64,2000,11
3,2,2000,2050,39,64,3000,21
3,3,3000,3050,39,64,4000,28
3,4,4000,4050,39,64,5000,38
3,5,5000,5050,39,64,6000,45
3,6,6000,6050,39,64,7000,55
3,7,7000,7050,39,64,8000,62
3,8,8000,8050,39,64,9000,72
3,9,9000,9050,39,64,10000,79
4,0,0,50,201,335,1000,5
4,1,1000,1050,201,335,2000,12
4,2,2000,2050,201,335,3000,22
4,3,3000,3050,201,335,4000,29
4,4,4000,4050,201,335,5000,39
4,5,5000,5050,201,335,6000,46
4,6,6000,6050,201,335,7000,56
4,7,7000,7050,201,335,8000,63
4,8,8000,8050,201,335,9000,73
4,9,9000,9050,201,335,10000,80
5,0,0,50,40,66,1000,6
5,1,1000,1050,40,66,2000,13
5,2,2000,2050,40,66,3000,23
5,3,3000,3050,40,66,4000,30
5,4,4000,4050,40,66,5000,40
5,5,5000,5050,40,66,6000,47
5,6,6000,6050,40,66,7000,57
5,7,7000,7050,40,66,8000,64
5,8,8000,8050,40,66,9000,74
5,9,9000,9050,40,66,10000,81
6,0,0,100,550,916,2000,14
6,1,2000,2100,550,916,4000,31
6,2,4000,4100,550,916,6000,48
6,3,6000,6100,550,916,8000,65
6,4,8000,8100,550,916,10000,82
7,0,0,100,220,366,2000,15
7,1,2000,2100,220,366,4000,32
7,2,4000,4100,220,366,6000,49
7,3,6000,6100,220,366,8000,66
7,4,8000,8100,220,366,10000,83
8,0,0,100,40,66,2000,16
8,1,2000,2100,40,66,4000,33
8,2,4000,4100,40,66,6000,50
8,3,6000,6100,40,66,8000,67
8,4,8000,8100,40,66,10000,84
9,0,0,500,1240,2066,10000,85
