Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,1373,2287,10000,10000,0
T1,100,7321,12201,15000,15000,0
T2,100,8346,13910,25000,25000,0
T3,100,1607,2677,25000,25000,0
T4,100,587,978,25000,25000,0
T5,100,534,890,30000,30000,0
T6,100,486,809,35000,35000,0
T7,100,1130,1882,40000,40000,0
T8,100,2364,3940,40000,40000,0
T9,100,8643,14405,40000,40000,0
T10,100,3112,5186,45000,45000,0
T11,100,2948,4912,60000,60000,0
T12,100,2390,3983,65000,65000,0
T13,100,12051,20085,70000,70000,0
T14,100,4965,8274,75000,75000,0
T15,100,13026,21710,90000,90000,0
