Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,830,1382,10000,10000,0
T1,100,1105,1841,10000,10000,0
T2,100,3033,5055,15000,15000,0
T3,100,782,1303,15000,15000,0
T4,100,6578,10962,15000,15000,0
T5,100,400,666,20000,20000,0
T6,100,593,988,20000,20000,0
T7,100,20,33,25000,25000,0
T8,100,118,196,30000,30000,0
T9,100,1355,2257,35000,35000,0
T10,100,4581,7634,50000,50000,0
T11,100,3179,5298,60000,60000,0
T12,100,6912,11520,75000,75000,0
T13,100,3611,6017,75000,75000,0
T14,100,18150,30249,80000,80000,0
T15,100,38613,64354,90000,90000,0
