Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,1001,1668,10000,10000,0
T1,100,182,303,10000,10000,0
T2,100,1026,1710,10000,10000,0
T3,100,376,626,10000,10000,0
T4,100,1921,3201,15000,15000,0
T5,100,1914,3190,15000,15000,0
T6,100,5343,8904,20000,20000,0
T7,100,4287,7145,25000,25000,0
T8,100,2914,4856,25000,25000,0
T9,100,5379,8965,30000,30000,0
T10,100,1685,2807,30000,30000,0
T11,100,6048,10079,35000,35000,0
T12,100,5912,9853,50000,50000,0
T13,100,3000,4999,60000,60000,0
T14,100,2112,3520,80000,80000,0
T15,100,19831,33051,80000,80000,0
